Region,Country,State,City,Month,Day,Year,AvgTemperature,Degree Celsius
Africa,Kenya,,Nairobi,1,1,1995,-99,-72.77777778
Africa,Kenya,,Nairobi,1,2,1995,73.7,23.16666667
Africa,Kenya,,Nairobi,1,3,1995,71.4,21.88888889
Africa,Kenya,,Nairobi,1,4,1995,68.4,20.22222222
Africa,Kenya,,Nairobi,1,5,1995,65.3,18.5
Africa,Kenya,,Nairobi,1,6,1995,70,21.11111111
Africa,Kenya,,Nairobi,1,7,1995,-99,-72.77777778
Africa,Kenya,,Nairobi,1,8,1995,-99,-72.77777778
Africa,Kenya,,Nairobi,1,9,1995,64.1,17.83333333
Africa,Kenya,,Nairobi,1,10,1995,74.3,23.5
Africa,Kenya,,Nairobi,1,11,1995,68.3,20.16666667
Africa,Kenya,,Nairobi,1,12,1995,-99,-72.77777778
Africa,Kenya,,Nairobi,1,13,1995,69.5,20.83333333
Africa,Kenya,,Nairobi,1,14,1995,-99,-72.77777778
Africa,Kenya,,Nairobi,1,15,1995,71.1,21.72222222
Africa,Kenya,,Nairobi,1,16,1995,-99,-72.77777778
Africa,Kenya,,Nairobi,1,17,1995,66.7,19.27777778
Africa,Kenya,,Nairobi,1,18,1995,-99,-72.77777778
Africa,Kenya,,Nairobi,1,19,1995,75.3,24.05555556
Africa,Kenya,,Nairobi,1,20,1995,81.5,27.5
Africa,Kenya,,Nairobi,1,21,1995,67.1,19.5
Africa,Kenya,,Nairobi,1,22,1995,74.5,23.61111111
Africa,Kenya,,Nairobi,1,23,1995,69.2,20.66666667
Africa,Kenya,,Nairobi,1,24,1995,76.3,24.61111111
Africa,Kenya,,Nairobi,1,25,1995,-99,-72.77777778
Africa,Kenya,,Nairobi,1,26,1995,73.5,23.05555556
Africa,Kenya,,Nairobi,1,27,1995,69.8,21
Africa,Kenya,,Nairobi,1,28,1995,68.4,20.22222222
Africa,Kenya,,Nairobi,1,29,1995,74,23.33333333
Africa,Kenya,,Nairobi,1,30,1995,73,22.77777778
Africa,Kenya,,Nairobi,1,31,1995,77.7,25.38888889
Africa,Kenya,,Nairobi,2,1,1995,66.5,19.16666667
Africa,Kenya,,Nairobi,2,2,1995,72.4,22.44444444
Africa,Kenya,,Nairobi,2,3,1995,63.5,17.5
